iter	Logloss
0	0.690949839
1	0.689085124
2	0.6872403714
3	0.6857947875
4	0.6843020378
5	0.6828978096
6	0.681711448
7	0.6806229696
8	0.6795066422
9	0.6785678727
10	0.6778281263
11	0.6770657086
12	0.6765432955
13	0.6760888423
14	0.6754132351
15	0.674778211
16	0.6742996919
17	0.6736803163
18	0.6732586771
19	0.6727348197
20	0.6723639506
21	0.6719446421
22	0.6717236708
23	0.6714109046
24	0.6713008301
25	0.6708155885
26	0.6705530599
27	0.6704565293
28	0.6700779212
29	0.669714532
30	0.6694802725
31	0.6692097156
32	0.6691344437
33	0.6689540726
34	0.6687745403
35	0.6686641713
36	0.6684172005
37	0.6682142193
38	0.6680015288
39	0.6678525087
40	0.6677824511
41	0.6677272437
42	0.6675372856
43	0.6674383487
44	0.6673555199
45	0.6672164711
46	0.6671109587
47	0.6670081115
48	0.6669359235
49	0.666844372
50	0.6666925497
51	0.6666178338
52	0.6665536807
53	0.6665188861
54	0.6664153301
55	0.666224432
56	0.6660941277
57	0.6659785212
58	0.665844809
59	0.6656841094
60	0.6655488308
61	0.665468591
62	0.6653233306
63	0.6651701676
64	0.6650432742
65	0.6649195034
66	0.6647884829
67	0.6646916645
68	0.6645620227
69	0.6645029227
70	0.6643522874
71	0.66427243
72	0.6641827865
73	0.6639550861
74	0.6638896206
75	0.6637512929
76	0.6636326417
77	0.6635934602
78	0.6634983037
79	0.6634183626
80	0.6633154983
81	0.6631649872
82	0.6631052355
83	0.6630577091
84	0.6630281968
85	0.6629102983
86	0.6628397828
87	0.6627270398
88	0.6625728936
89	0.6624294943
90	0.6623079333
91	0.6621725088
92	0.6621062195
93	0.6619334063
94	0.6617764388
95	0.661694089
96	0.6616328241
97	0.6614921865
98	0.6614061587
99	0.6613780767
