iter	Passed	Remaining
401	12558	18681
402	12587	18647
403	12619	18616
404	12645	18578
405	12674	18544
406	12704	18510
407	12737	18482
408	12768	18450
409	12795	18413
410	12825	18379
411	12854	18345
412	12881	18309
413	12910	18274
414	12946	18249
415	12976	18217
416	13005	18183
417	13035	18150
418	13069	18122
419	13096	18085
420	13131	18059
421	13161	18027
422	13196	18000
423	13227	17969
424	13255	17933
425	13284	17899
426	13315	17868
427	13348	17839
428	13380	17809
429	13411	17777
430	13440	17743
431	13470	17711
432	13498	17676
433	13525	17639
434	13557	17609
435	13588	17578
436	13623	17551
437	13652	17517
438	13679	17481
439	13706	17444
440	13735	17411
441	13766	17379
442	13796	17347
443	13825	17313
444	13857	17282
445	13888	17251
446	13916	17216
447	13945	17183
448	13974	17149
449	14006	17119
450	14038	17088
451	14069	17057
452	14098	17023
453	14124	16986
454	14153	16952
455	14183	16920
456	14217	16893
457	14249	16863
458	14277	16827
459	14305	16793
460	14335	16761
461	14366	16729
462	14396	16697
463	14423	16661
464	14458	16634
465	14486	16600
466	14521	16574
467	14553	16543
468	14579	16506
469	14610	16475
470	14644	16448
471	14682	16423
472	14713	16392
473	14739	16356
474	14771	16326
475	14799	16292
476	14830	16261
477	14861	16229
478	14887	16192
479	14919	16163
480	14950	16132
481	14981	16100
482	15011	16068
483	15041	16036
484	15071	16003
485	15099	15969
486	15134	15942
487	15165	15911
488	15193	15877
489	15225	15847
490	15254	15814
491	15283	15780
492	15309	15744
493	15338	15711
494	15382	15693
495	15412	15661
496	15441	15627
497	15469	15594
498	15504	15566
499	15534	15534
500	15570	15507
501	15615	15490
502	15659	15472
503	15695	15446
504	15733	15421
505	15769	15395
506	15801	15365
507	15838	15339
508	15868	15307
509	15909	15285
510	15947	15261
511	15975	15226
512	16025	15213
513	16062	15187
514	16099	15161
515	16129	15129
516	16159	15096
517	16205	15078
518	16246	15056
519	16279	15027
520	16307	14993
521	16340	14962
522	16371	14931
523	16401	14898
524	16437	14872
525	16487	14857
526	16543	14848
527	16578	14820
528	16609	14788
529	16643	14759
530	16671	14725
531	16702	14693
532	16740	14667
533	16778	14641
534	16808	14609
535	16840	14578
536	16877	14552
537	16913	14524
538	16945	14492
539	16973	14459
540	17004	14426
541	17037	14397
542	17072	14368
543	17105	14338
544	17141	14310
545	17173	14279
546	17205	14248
547	17243	14223
548	17274	14190
549	17306	14159
550	17340	14130
551	17377	14103
552	17409	14072
553	17440	14040
554	17474	14010
555	17508	13981
556	17538	13949
557	17569	13916
558	17595	13881
559	17629	13851
560	17661	13820
561	17692	13788
562	17716	13751
563	17744	13717
564	17775	13685
565	17803	13651
566	17834	13619
567	17864	13587
568	17891	13552
569	17919	13518
570	17947	13484
571	17977	13451
572	18006	13418
573	18034	13384
574	18064	13351
575	18098	13322
576	18129	13290
577	18158	13257
578	18188	13225
579	18217	13191
580	18246	13159
581	18280	13129
582	18317	13102
583	18350	13071
584	18378	13037
585	18410	13007
586	18440	12974
587	18466	12939
588	18496	12906
589	18530	12877
590	18561	12845
591	18594	12815
592	18626	12784
593	18660	12754
594	18693	12724
595	18730	12696
596	18765	12667
597	18795	12635
598	18827	12603
599	18860	12573
600	18893	12543
601	18925	12512
602	18956	12480
603	18990	12450
604	19024	12420
605	19059	12391
606	19090	12360
607	19128	12332
608	19159	12301
609	19193	12270
610	19230	12243
611	19257	12209
612	19294	12180
613	19333	12154
614	19364	12122
615	19404	12096
616	19435	12064
617	19470	12034
618	19501	12003
619	19540	11976
620	19573	11945
621	19606	11915
622	19645	11888
623	19679	11858
624	19712	11827
625	19741	11794
626	19773	11763
627	19802	11730
628	19847	11706
629	19879	11675
630	19910	11643
631	19942	11612
632	19974	11580
633	20010	11551
634	20048	11523
635	20081	11493
636	20118	11464
637	20150	11433
638	20184	11402
639	20216	11371
640	20252	11342
641	20290	11314
642	20329	11287
